NN,XX,YY
CHORRILLOS,-77.0318,-12.1694
ACOBAMBA,-76.5167,-11.55
MINA COLQUI,-76.4833,-11.5833
PUCRO,-76.3667,-11.5667
TINGO,-76.4833,-11.6167
SHEQUE,-76.4987,-11.6666
LA QUISHA,-76.454,-11.657
CARAMPOMA,-76.5153,-11.655
MILLOC,-76.35,-11.5713
LA PIRHUA,-76.3167,-11.6833
BELLAVISTA,-76.2667,-11.6833
CASAPALCA,-76.2334,-11.6478
RIO BLANCO,-76.2589,-11.7345
AUTISHA,-76.6065,-11.7352
SAN JOSE DE PARAC,-76.2581,-11.8005
TAMBORAQUE,-76.3167,-11.7833
MATUCANA,-76.378,-11.8391
SANTA EULALIA,-76.6668,-11.918
CANCHACALLA,-76.5314,-11.8448
CHAUTE,-76.5167,-11.9333
LIMATAMBO,-77.0167,-12.0333
CHOSICA,-76.7,-11.9167
CHOSICA,-76.7333,-11.9333
LA CANTUTA,-76.7,-11.95
 ANA,-76.8388,-11.9885
SANTA CLARA,-76.8833,-12.0333
RIMAC,-77.05,-12.0167
SAN MARCOS,-77.0667,-12.0667
VON HUMBOLDT,-76.95,-12.0833
CAMPO DE MARTE,-77.0419,-12.0672
MODELO CAMPO DE MARTE,-77.0409,-12.0718
HIPOLITO UNANUE,-77.0607,-12.0693
LAS PALMAS,-77,-12.15
LINCE,-77.0275,-12.0856
TICLIO,-76.2,-11.6
